sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;comercio;tienda;san javier no.1;2;13;2016-04-04;5000000;microempresarial
femenino;servicio;peluqueria;enciso;1;8;2017-09-12;4400000;microempresarial
femenino;industria;panaderia;robledo;2;7;2017-08-25;7370000;microempresarial
femenino;comercio;variedades;aranjuez;1;4;2017-08-22;7000000;microempresarial
masculino;industria;fabricadealimentos;girardot;3;5;2018-12-04;5500000;microempresarial
femenino;comercio;restaurante;san javier no.1;1;13;2018-07-18;3000000;microempresarial
masculino;industria;fabricade;la pradera;2;13;2018-09-03;6000000;microempresarial
femenino;comercio;tienda;santo domingo savio ;1;1;2016-04-11;4000000;microempresarial
femenino;comercio;tienda;manrique central no. 1;3;4;2018-02-06;7200000;microempresarial
femenino;comercio;variedades;manrique central no. 1;2;4;2016-10-26;6890000;microempresarial
femenino;comercio;comidasrapidas;robledo;1;7;2018-03-23;7800000;microempresarial
femenino;industria;fabricade;barrio caicedo;2;9;2017-10-31;7377000;microempresarial
femenino;comercio;tienda;la milagrosa;3;9;2018-11-02;6000000;microempresarial
femenino;industria;fabricade;las palmas;3;90;2017-11-07;3000000;microempresarial
masculino;comercio;miscelanea;cabecera san cristobal;3;60;2018-02-26;1000000;microempresarial
femenino;comercio;comidasrapidas;popular;1;1;2018-09-24;6000000;microempresarial
masculino;servicio;ventadelacteos;manrique central no. 1;3;4;2018-06-01;19530000;empresarialed
masculino;comercio;tienda;cabecera san cristobal;1;60;2018-02-28;4500000;microempresarial
femenino;comercio;papeleria;santa cruz;2;2;2017-11-09;7000000;microempresarial
femenino;comercio;variedades;manrique central no. 1;1;4;2018-02-06;7800000;microempresarial
masculino;comercio;peluqueria;la floresta;3;12;2016-08-05;6890000;microempresarial
femenino;comercio;comidasrapidas;aranjuez;3;4;2018-02-22;3000000;microempresarial
masculino;comercio;comidasrapidas;robledo;2;7;2018-02-22;6500000;microempresarial
masculino;servicio;fabricade;manrique central no. 2;2;3;2016-02-19;2000000;microempresarial
femenino;comercio;tienda;kennedy;2;6;2018-04-12;7800000;microempresarial
femenino;servicio;peluqueria;villatina;2;8;2018-01-24;6000000;microempresarial
femenino;industria;fabricade;popular;2;1;2017-05-23;7377000;microempresarial
masculino;comercio;variedades;robledo;2;7;2017-09-04;7300000;microempresarial
masculino;comercio;almacenderopaen;santa cruz;2;2;2019-02-22;8000000;microempresarial
masculino;servicio;variedades;robledo;2;7;2017-06-21;7377000;microempresarial
femenino;industria;fabricade;manrique central no. 1;2;4;2018-07-05;5000000;microempresarial
masculino;comercio;reciclaje;centro admtivo;1;10;2018-12-18;4000000;microempresarial
masculino;industria;fabricade;el salvador;2;9;2017-03-28;7370000;microempresarial
femenino;industria;fabricade;robledo;2;7;2019-05-30;7000000;microempresarial
femenino;comercio;distribuidorade;buenos aires;3;9;2018-08-13;7800000;microempresarial
masculino;comercio;miscelanea;playon de los ;2;2;2018-07-11;7800000;microempresarial
femenino;servicio;cerrajeria;villa hermosa;3;8;2017-09-21;7300000;microempresarial
femenino;comercio;ventadelacteos;barrio caicedo;2;9;2017-09-07;7370000;microempresarial
masculino;industria;fabricadeproductos;enciso;3;8;2018-04-20;7800000;microempresarial
femenino;industria;fabricade;cabecera san cristobal;2;60;2018-08-03;3000000;microempresarial
masculino;comercio;variedades;aranjuez;2;4;2017-12-13;5000000;microempresarial
femenino;servicio;peluqueria;enciso;2;8;2019-04-29;8000000;microempresarial
femenino;comercio;almacenderopaen;guayabal;3;15;2019-05-09;8281000;microempresarial
femenino;servicio;papeleria;robledo;2;7;2016-07-21;5000000;microempresarial
femenino;servicio;peluqueria;santa cruz;2;2;2019-06-14;7000000;microempresarial
masculino;comercio;papeleria;belen;3;16;2018-06-14;7000000;microempresarial
masculino;servicio;comidasrapidas;guayabal;2;15;2016-02-23;6800000;microempresarial
femenino;comercio;peluqueria;pedregal;3;6;2017-09-12;7300000;microempresarial
femenino;comercio;fabricadecalzado;cabecera san antonio ;3;80;2017-11-20;4422000;microempresarial
masculino;comercio;tienda;trinidad;3;15;2016-10-14;6800000;microempresarial
masculino;industria;fotografia;popular;2;1;2018-10-31;6000000;microempresarial
femenino;industria;fabricade;belen;2;16;2017-04-07;7370000;microempresarial
femenino;comercio;tienda;enciso;1;8;2017-11-17;5000000;microempresarial
masculino;comercio;tienda;robledo;1;7;2017-02-03;7000000;microempresarial
masculino;comercio;variedades;enciso;1;8;2018-04-04;7000000;microempresarial
femenino;comercio;tienda;doce de octubre no.1;2;6;2018-11-20;5000000;microempresarial
femenino;comercio;fabricade;alfonso lopez;2;5;2018-02-08;6000000;microempresarial
femenino;comercio;miscelanea;calasanz parte alta;1;12;2016-11-01;6890000;microempresarial
femenino;servicio;papeleria;santa cruz;2;2;2017-04-26;7377000;microempresarial
femenino;comercio;tienda;manrique central no. 1;3;4;2019-02-28;4500000;microempresarial
femenino;comercio;peluqueria;eduardo santos;2;13;2018-10-26;3000000;microempresarial
femenino;servicio;peluqueria;trinidad;2;15;2018-06-14;4000000;microempresarial
femenino;servicio;fabricade;buenos aires;3;9;2017-02-09;7000000;microempresarial
masculino;comercio;almacenderopaen;buenos aires;2;9;2018-10-03;2000000;microempresarial
masculino;servicio;barberia;santo domingo savio ;1;1;2019-04-08;8200000;microempresarial
masculino;servicio;mantenimientoen;miranda;2;4;2017-09-26;7000000;microempresarial
femenino;comercio;productosdebelleza;la sierra;1;8;2019-01-21;1500000;microempresarial
masculino;comercio;tienda;belen;3;16;2017-06-12;5200000;microempresarial
masculino;servicio;distribuidorade;juan xxiii la quiebra;1;13;2019-05-02;3000000;microempresarial
masculino;comercio;tienda;santo domingo savio ;1;1;2018-10-11;7000000;microempresarial
masculino;comercio;tienda;robledo;3;7;2016-10-27;4100000;microempresarial
masculino;servicio;restaurante;san diego;3;10;2016-04-21;6890000;microempresarial
femenino;industria;fabricade;santo domingo savio ;2;1;2018-08-27;7000000;microempresarial
femenino;comercio;comidasrapidas;castilla;2;5;2017-05-09;3000000;microempresarial
masculino;servicio;carpinteria;centro admtivo;3;10;2017-11-09;7377000;microempresarial
masculino;industria;fabricade;popular;2;1;2019-02-01;8281000;microempresarial
femenino;servicio;panaderia;cabecera san antonio ;2;80;2016-08-26;6000000;microempresarial
femenino;comercio;comidasrapidas;barrio caicedo;1;9;2019-01-18;4500000;microempresarial
femenino;servicio;gimnasio;robledo;2;7;2017-09-21;7370000;microempresarial
masculino;servicio;cafeeinternet;la floresta;3;12;2016-05-10;233925;microempresarial
femenino;industria;fabricade;aranjuez;1;4;2016-11-15;5000000;microempresarial
femenino;comercio;variedades;picacho;2;6;2017-04-20;5000000;microempresarial
femenino;comercio;tienda;olaya herrera;1;7;2016-10-20;6000000;microempresarial
femenino;industria;fabricade;robledo;2;7;2017-02-16;5000000;microempresarial
masculino;industria;fabricaderepuestos;san javier no.1;1;13;2017-12-07;7300000;microempresarial
masculino;servicio;fabricade;pablo vi;2;2;2016-10-06;6800000;microempresarial
femenino;servicio;fabricadejuegos;belen;3;16;2017-08-17;7200000;microempresarial
masculino;comercio;cafeteria;robledo;2;7;2016-10-14;6890000;microempresarial
femenino;comercio;variedades;la milagrosa;2;9;2017-11-02;1550000;microempresarial
femenino;comercio;miscelanea;campo valdes no. 1;3;4;2017-11-16;7377000;microempresarial
masculino;comercio;tallerdemecanica;santander;2;6;2018-05-03;3500000;microempresarial
masculino;servicio;variedades;belen;3;16;2018-02-16;7800000;microempresarial
masculino;industria;fabricade;san benito;2;10;2018-04-25;3000000;microempresarial
masculino;servicio;variedades;villatina;2;8;2019-03-19;8000000;microempresarial
femenino;industria;fabricade;san antonio;3;8;2019-05-28;8000000;microempresarial
femenino;comercio;tienda;castilla;2;5;2018-05-28;7800000;microempresarial
femenino;comercio;distribuidorade;la milagrosa;2;9;2018-04-04;7800000;microempresarial
femenino;comercio;variedades;campo valdes no. 2;2;3;2016-11-16;2000000;microempresarial
masculino;comercio;variedades;florencia;3;5;2018-10-11;1000000;microempresarial
masculino;servicio;reciclaje;santa cruz;2;2;2018-02-02;6000000;microempresarial
masculino;comercio;tienda;andalucia;2;2;2017-04-25;7370000;microempresarial
masculino;servicio;mantenimientoen;belen;3;16;2016-06-16;6890000;microempresarial
femenino;comercio;variedades;la avanzada;1;1;2016-10-06;6890000;microempresarial
masculino;comercio;variedades;enciso;1;8;2017-04-19;7000000;microempresarial
masculino;servicio;fabricadecalzado;manrique central no. 1;3;4;2016-08-26;5000000;microempresarial
femenino;comercio;cafeeinternet;manrique oriental;2;3;2017-09-05;7370000;microempresarial
femenino;industria;fabricade;robledo;2;7;2018-01-23;6000000;microempresarial
femenino;industria;fabricade;la milagrosa;2;9;2019-01-22;7500000;microempresarial
masculino;comercio;variedades;campo valdes no. 1;3;4;2018-01-17;7000000;microempresarial
femenino;comercio;miscelanea;santo domingo savio ;2;1;2018-06-22;17000000;microempresarial
femenino;servicio;peluqueria;santander;2;6;2017-07-27;7000000;microempresarial
femenino;comercio;variedades;pedregal;3;6;2017-01-30;2000000;microempresarial
masculino;comercio;cafeteria;andalucia;2;2;2018-03-09;3500000;microempresarial
femenino;industria;fabricadecalzado;andalucia;2;2;2017-06-28;7300000;microempresarial
masculino;comercio;cerrajeria;andalucia;2;2;2017-06-06;7377000;microempresarial
femenino;agropecuaria;criaderodeanimales;cabecera san antonio ;2;80;2018-10-03;5000000;agropecuaria
femenino;comercio;variedades;el salvador;3;9;2017-07-24;7370000;microempresarial
masculino;comercio;tienda;cabecera san cristobal;2;60;2016-05-10;1600000;microempresarial
femenino;comercio;panaderia;prado;3;10;2018-10-29;7800000;microempresarial
masculino;servicio;organizaciony;la milagrosa;3;9;2018-05-09;4500000;microempresarial
masculino;servicio;fabricadeceramica;villatina;2;8;2016-12-21;6890000;microempresarial
masculino;comercio;tienda;toscana;2;5;2017-09-22;7000000;microempresarial
femenino;comercio;distribuidorade;doce de octubre no.1;2;6;2018-04-19;6000000;microempresarial
femenino;comercio;almacenderopaen;belen;2;16;2016-08-25;6890000;microempresarial
femenino;comercio;variedades;belen;3;16;2018-02-13;7800000;microempresarial
femenino;comercio;restaurante;san javier no.1;1;13;2018-10-26;7800000;microempresarial
femenino;comercio;papeleria;boyaca;3;5;2016-11-18;6890000;microempresarial
femenino;servicio;almacenderopaen;kennedy;2;7;2019-01-29;2250000;microempresarial
femenino;comercio;legumbreria;popular;2;1;2017-04-19;7377000;microempresarial
masculino;industria;fabricadecalzado;campo valdes no. 1;2;4;2017-08-28;7300000;microempresarial
femenino;comercio;tienda;san javier no.1;1;13;2016-11-19;4000000;microempresarial
femenino;industria;fabricade;aranjuez;2;4;2016-05-17;6000000;microempresarial
femenino;industria;fabricade;popular;1;1;2018-05-23;3400000;microempresarial
femenino;comercio;carpinteria;robledo;1;7;2017-10-20;7300000;microempresarial
femenino;comercio;variedades;santo domingo savio ;1;1;2018-02-09;6000000;microempresarial
femenino;comercio;variedades;buenos aires;3;9;2018-04-30;7500000;microempresarial
masculino;servicio;barberia;manrique central no. 1;2;4;2018-02-06;7800000;microempresarial
femenino;industria;fabricade;aranjuez;1;4;2016-09-19;6890000;microempresarial
femenino;comercio;variedades;granizal;2;1;2016-10-28;4000000;microempresarial
femenino;comercio;variedades;robledo;2;7;2018-10-24;7800000;microempresarial
femenino;industria;fabricade;villa hermosa;2;8;2018-06-08;7812000;microempresarial
femenino;servicio;peluqueria;aranjuez;2;4;2017-09-13;7000000;microempresarial
femenino;comercio;variedades;calasanz;2;12;2018-04-13;4000000;microempresarial
femenino;comercio;tienda;manrique central no. 1;2;4;2017-08-08;5000000;microempresarial
femenino;comercio;comidasrapidas;buenos aires;2;9;2017-09-18;7377000;microempresarial
femenino;comercio;almacenderopaen;el compromiso;1;1;2016-08-03;6000000;microempresarial
femenino;servicio;peluqueria;robledo;3;7;2018-11-09;3000000;microempresarial
femenino;comercio;cafeeinternet;cabecera san cristobal;2;60;2018-01-24;5000000;microempresarial
femenino;comercio;almacenderopaen;doce de octubre no.1;2;6;2018-09-14;4500000;microempresarial
masculino;agropecuaria;criaderodeanimales;florencia;2;5;2018-04-19;3000000;microempresarial
femenino;comercio;variedades;santo domingo savio ;1;1;2018-03-08;7800000;microempresarial
femenino;servicio;peluqueria;doce de octubre no.1;1;6;2018-10-11;6000000;microempresarial
femenino;industria;fabricade;campo valdes no. 1;3;4;2017-10-27;6000000;microempresarial
femenino;servicio;tallerdemecanica;robledo;1;7;2016-09-20;5000000;microempresarial
femenino;industria;fabricade;buenos aires;2;9;2018-02-22;4000000;microempresarial
masculino;comercio;licorera;barrio caicedo;2;9;2018-10-24;7800000;microempresarial
femenino;industria;fabricade;andalucia;2;2;2018-05-31;7812000;microempresarial
masculino;industria;fabricade;campo valdes no. 1;3;4;2019-05-31;7500000;microempresarial
masculino;comercio;variedades;san pablo;2;1;2016-10-25;3000000;microempresarial
femenino;servicio;comidasrapidas;robledo;2;7;2018-11-23;7800000;microempresarial
femenino;comercio;comidasrapidas;cabecera san cristobal;1;60;2018-10-17;2000000;microempresarial
femenino;comercio;bares;manrique central no. 1;1;4;2017-03-29;7000000;microempresarial
masculino;comercio;variedades;belen;3;16;2017-02-24;7377000;microempresarial
masculino;comercio;restaurante;castilla;3;5;2018-02-14;7000000;microempresarial
masculino;servicio;comidasrapidas;guayabal;3;15;2016-07-08;6890000;microempresarial
femenino;servicio;restaurante;robledo;2;7;2018-07-17;7800000;microempresarial
femenino;comercio;variedades;la floresta;1;12;2018-11-15;7000000;microempresarial
femenino;industria;fabricade;manrique central no. 1;3;4;2019-02-07;2000000;microempresarial
femenino;comercio;variedades;manrique central no. 1;2;4;2018-05-18;6000000;microempresarial
femenino;comercio;tienda;enciso;2;8;2016-09-12;6890000;microempresarial
masculino;comercio;variedades;castilla;3;5;2019-03-15;8000000;microempresarial
femenino;industria;fabricade;villa niza;2;2;2017-05-31;7370000;microempresarial
masculino;servicio;barberia;castilla;2;5;2018-05-07;7800000;microempresarial
femenino;comercio;comidasrapidas;castilla;1;5;2018-06-21;7000000;microempresarial
femenino;servicio;peluqueria;santa cruz;2;2;2017-06-06;7377000;microempresarial
femenino;comercio;tienda;santo domingo savio ;1;1;2019-01-15;8000000;microempresarial
femenino;comercio;tallerdeelectronica;trinidad;2;15;2017-07-06;7377000;microempresarial
femenino;comercio;tienda;la america;3;12;2018-01-23;7500000;microempresarial
femenino;industria;fabricade;20 de julio;1;13;2016-06-24;6000000;microempresarial
femenino;comercio;restaurante;popular;2;1;2018-05-01;4000000;microempresarial
femenino;comercio;comidasrapidas;manrique central no. 1;2;4;2018-05-11;2500000;microempresarial
femenino;comercio;peluqueria;san pablo;1;1;2018-03-14;3000000;microempresarial
femenino;servicio;fumigacion;robledo;2;7;2018-02-16;4000000;microempresarial
femenino;comercio;miscelanea;20 de julio;1;13;2016-07-27;2000000;microempresarial
masculino;industria;fabricade;cabecera san antonio ;2;80;2017-07-26;7377000;microempresarial
masculino;servicio;variedades;manrique oriental;2;3;2016-11-22;6000000;microempresarial
masculino;comercio;barberia;cabecera san cristobal;2;60;2017-03-09;7200000;microempresarial
femenino;servicio;variedades;la francia;2;2;2017-10-26;7300000;microempresarial
masculino;industria;fabricade;el diamante;2;7;2019-04-25;8000000;microempresarial
femenino;comercio;ventadecalzado;granizal;2;1;2017-10-26;1500000;microempresarial
femenino;servicio;organizaciony;san javier no.1;1;13;2018-04-18;7000000;microempresarial
femenino;comercio;variedades;cabecera san cristobal;3;60;2018-04-16;2000000;microempresarial
masculino;comercio;comidasrapidas;campo amor;3;15;2017-07-26;7370000;microempresarial
masculino;industria;fabricadecalzado;belencito;2;13;2016-10-19;6890000;microempresarial
femenino;comercio;almacenderopaen;bombona no. 1;3;10;2017-11-10;4400000;microempresarial
femenino;comercio;almacenderopaen;robledo;2;7;2017-08-04;3000000;microempresarial
femenino;comercio;variedades;campo valdes no. 1;3;4;2018-04-25;6500000;microempresarial
femenino;comercio;variedades;trinidad;3;15;2017-03-14;6000000;microempresarial
femenino;comercio;variedades;popular;2;1;2017-05-23;7377000;microempresarial
femenino;comercio;almacenderopaen;castilla;3;5;2018-12-04;3000000;microempresarial
femenino;servicio;recreativoeducativo;santa cruz;2;2;2016-04-19;6890000;microempresarial
masculino;comercio;almacenderopaen;cabecera san cristobal;2;60;2018-04-24;3000000;microempresarial
femenino;industria;fabricade;enciso;2;8;2017-07-19;7370000;microempresarial
femenino;comercio;almacenderopaen;enciso;2;8;2018-08-03;7800000;microempresarial
femenino;comercio;variedades;barrio caicedo;2;9;2017-05-16;2000000;microempresarial
femenino;comercio;variedades;san javier no.1;2;13;2017-10-27;5000000;microempresarial
femenino;comercio;tienda;san javier no.1;2;13;2016-06-08;6890000;microempresarial
femenino;comercio;variedades;llanaditas;1;8;2016-04-07;6890000;microempresarial
femenino;industria;fabricade;belencito;2;13;2016-07-22;6000000;microempresarial
femenino;comercio;miscelanea;bombona no. 1;3;10;2017-02-22;2000000;microempresarial
femenino;comercio;tienda;santo domingo savio ;1;1;2017-09-08;7370000;microempresarial
femenino;comercio;variedades;boston;3;10;2017-02-20;1000000;microempresarial
femenino;comercio;cafeteria;belen;2;16;2019-05-07;7600000;microempresarial
masculino;servicio;barberia;granizal;2;1;2018-05-11;7800000;microempresarial
femenino;industria;variedades;florencia;3;5;2019-03-19;8200000;microempresarial
femenino;comercio;variedades;manrique central no. 2;2;3;2016-07-15;2000000;microempresarial
femenino;industria;fabricade;aranjuez;1;4;2017-01-23;7000000;microempresarial
masculino;comercio;tiendadehelados;buenos aires;3;9;2016-04-19;5000000;microempresarial
femenino;comercio;fabricade;robledo;1;7;2018-01-25;7800000;microempresarial
femenino;industria;fabricade;juan pablo ii;1;9;2017-01-19;7377000;microempresarial
femenino;servicio;peluqueria;la milagrosa;3;9;2018-02-01;7000000;microempresarial
femenino;comercio;variedades;popular;2;6;2017-10-25;7300000;microempresarial
masculino;servicio;tienda;toscana;3;5;2017-02-21;7377000;microempresarial
masculino;servicio;peluqueria;belen;2;16;2018-02-22;4000000;microempresarial
femenino;industria;depositode;la esperanza;1;6;2019-04-08;8200000;microempresarial
masculino;servicio;mantenimientoen;san javier no.1;1;13;2018-05-23;7800000;microempresarial
masculino;comercio;variedades;granizal;1;1;2018-06-27;800000;microempresarial
femenino;comercio;tienda;manrique central no. 1;2;4;2017-06-12;5000000;microempresarial
femenino;comercio;variedades;manrique central no. 1;2;4;2016-07-13;1000000;microempresarial
masculino;industria;fabricadealimentos;castilla;3;5;2019-02-11;5400000;microempresarial
femenino;industria;carpinteria;santo domingo savio ;2;1;2017-02-22;4000000;microempresarial
masculino;comercio;publicidady;villa hermosa;3;6;2019-04-24;8250000;microempresarial
masculino;servicio;recreativoeducativo;villa niza;2;2;2017-10-06;7370000;microempresarial
femenino;comercio;comidasrapidas;san diego;2;10;2016-11-10;6000000;microempresarial
femenino;comercio;tienda;robledo;1;7;2016-11-18;6500000;microempresarial
femenino;comercio;cafeeinternet;santa cruz;2;2;2018-04-04;7800000;microempresarial
masculino;comercio;variedades;doce de octubre no.1;2;6;2018-07-30;5000000;microempresarial
masculino;servicio;criaderodeanimales;belen;2;16;2017-09-08;14000000;agropecuaria
femenino;comercio;almacenderopaen;robledo;3;7;2017-02-06;4400000;credioportuno
masculino;comercio;miscelanea;moravia;2;4;2016-10-14;4000000;microempresarial
masculino;industria;fabricadecalzado;castilla;2;5;2018-05-08;2000000;microempresarial
femenino;agropecuaria;criaderodeanimales;enciso;1;8;2018-06-14;7000000;microempresarial
masculino;comercio;panaderia;santa cruz;2;2;2017-03-17;73000000;microempresarial
femenino;servicio;cafeeinternet;la pradera;2;13;2016-06-29;6000000;microempresarial
femenino;industria;fabricade;aranjuez;2;13;2016-12-01;3000000;microempresarial
femenino;servicio;almacenderopaen;cabecera san antonio ;1;80;2017-05-10;2000000;microempresarial
femenino;industria;fabricade;villa hermosa;3;8;2016-05-11;6890000;microempresarial
masculino;servicio;montallantas;kennedy;2;6;2017-10-26;5000000;microempresarial
masculino;comercio;fabricadehelados;castilla;2;5;2017-01-23;7377000;microempresarial
masculino;industria;ebanistaria;manrique central no. 2;2;3;2018-02-07;7812000;microempresarial
masculino;comercio;comidasrapidas;manrique central no. 2;2;3;2016-04-11;5000000;microempresarial
masculino;comercio;peluqueria;cabecera san antonio ;3;80;2018-05-09;5000000;microempresarial
femenino;industria;fabricade;manrique central no. 2;3;3;2016-03-28;6890000;microempresarial
masculino;industria;fabricadealimentos;cabecera san antonio ;2;80;2016-04-22;6400000;microempresarial
femenino;comercio;variedades;villa del socorro;2;2;2018-05-28;7800000;microempresarial
femenino;comercio;tienda;llanaditas;1;8;2016-10-05;6000000;microempresarial
femenino;comercio;fabricadehelados;robledo;2;7;2016-11-02;6890000;microempresarial
masculino;servicio;carpinteria;san javier no.1;2;13;2017-08-15;7377000;microempresarial
masculino;industria;fabricade;san javier no.1;2;13;2018-10-31;7000000;microempresarial
masculino;comercio;comidasrapidas;campo valdes no. 2;3;3;2019-01-31;4500000;microempresarial
masculino;comercio;tienda;belencito;1;13;2018-07-19;7800000;microempresarial
masculino;industria;fabricade;san javier no.1;2;13;2018-05-04;5000000;microempresarial
masculino;comercio;comidasrapidas;la esperanza;1;6;2018-08-09;7800000;microempresarial
femenino;industria;fabricade;aranjuez;3;4;2017-02-15;3000000;microempresarial
femenino;servicio;peluqueria;castilla;3;5;2017-05-03;7200000;microempresarial
femenino;servicio;tienda;llanaditas;1;8;2016-06-15;3000000;microempresarial
masculino;servicio;fotografia;robledo;3;7;2016-07-07;1500000;microempresarial
femenino;industria;fabricade;popular;2;1;2018-09-14;6000000;microempresarial
femenino;comercio;tienda;cabecera san cristobal;1;6;2016-05-20;3000000;microempresarial
femenino;comercio;fabricade;robledo;1;7;2018-07-16;2000000;microempresarial
femenino;comercio;distribuidorade;blanquizal;1;13;2017-09-07;7300000;microempresarial
masculino;comercio;comidasrapidas;cabecera san cristobal;2;60;2017-02-03;1000000;microempresarial
masculino;industria;fabricade;florencia;3;5;2017-05-11;4000000;microempresarial
femenino;servicio;fabricade;manrique oriental;1;3;2016-10-27;6000000;microempresarial
femenino;servicio;cafeeinternet;santo domingo savio ;2;1;2017-09-06;7300000;microempresarial
femenino;comercio;comidasrapidas;popular;2;1;2018-02-13;7800000;microempresarial
masculino;comercio;comidasrapidas;robledo;3;7;2018-03-22;7800000;microempresarial
masculino;comercio;papeleria;boston;2;10;2017-08-18;3000000;microempresarial
femenino;comercio;tienda;barrio caicedo;2;9;2018-10-26;2500000;microempresarial
femenino;industria;fabricade;20 de julio;2;13;2017-09-14;3000000;microempresarial
masculino;comercio;restaurante;robledo;3;7;2018-08-29;7000000;microempresarial
masculino;comercio;productosdebelleza;santa lucia;3;12;2017-11-08;7200000;microempresarial
masculino;comercio;tienda;andalucia;2;5;2019-04-09;3000000;microempresarial
femenino;servicio;restaurante;san javier no.1;2;13;2017-08-18;6000000;microempresarial
masculino;comercio;peluqueria;manrique central no. 1;3;4;2018-10-11;5000000;microempresarial
femenino;comercio;variedades;castilla;3;5;2016-09-08;6890000;microempresarial
masculino;servicio;fabricade;villa hermosa;3;8;2017-04-21;7377000;microempresarial
masculino;industria;fabricade;la pradera;3;13;2016-12-07;5000000;microempresarial
masculino;industria;fabricade;enciso;3;8;2016-10-28;6894000;microempresarial
femenino;agropecuaria;criaderodeanimales;guayabal;1;15;2016-05-31;4000000;microempresarial
masculino;comercio;almacenderopaen;santa cruz;2;2;2017-03-14;2500000;microempresarial
masculino;agropecuaria;sembrados;suburbano santa elena ;2;90;2019-02-14;17000000;agropecuaria
femenino;industria;panaderia;castilla;3;5;2018-10-11;7000000;microempresarial
masculino;agropecuaria;criaderodeanimales;altavista;2;16;2016-09-26;3000000;microempresarial
masculino;comercio;almacenderopaen;belen;3;16;2018-10-24;7800000;microempresarial
femenino;industria;fabricade;castilla;3;5;2017-03-27;6000000;microempresarial
masculino;comercio;ferreteria;manrique central no. 1;2;4;2017-03-23;7300000;microempresarial
masculino;comercio;restaurante;campo valdes no. 1;2;4;2018-06-12;7800000;microempresarial
femenino;comercio;panaderia;trinidad;3;15;2018-03-22;5000000;microempresarial
femenino;comercio;miscelanea;pablo vi;2;2;2017-09-19;5000000;microempresarial
femenino;comercio;tienda;robledo;1;7;2016-03-28;3000000;microempresarial
femenino;servicio;panaderia;robledo;2;7;2016-12-28;6890000;microempresarial
femenino;industria;fabricade;pedregal;3;6;2016-11-01;6890000;microempresarial
masculino;servicio;mantenimientoen;manrique central no. 2;3;3;2016-03-18;6800000;microempresarial
femenino;industria;fabricade;aranjuez;2;4;2019-02-28;8000000;microempresarial
masculino;industria;ferreteria;manrique central no. 1;3;4;2016-09-16;6890000;microempresarial
masculino;servicio;mantenimientoen;miranda;2;4;2017-09-25;23000000;microempresarial
femenino;comercio;comidasrapidas;barrio colon;3;10;2018-05-03;4000000;microempresarial
femenino;servicio;fabricade;robledo;2;7;2019-03-13;5000000;microempresarial
femenino;comercio;legumbreria;enciso;1;8;2018-12-10;2000000;microempresarial
masculino;comercio;variedades;castilla;3;5;2016-11-09;6890000;microempresarial
femenino;industria;fabricadecalzado;buenos aires;3;9;2017-02-27;3000000;microempresarial
femenino;comercio;almacenderopaen;la pradera;3;13;2018-03-13;7800000;microempresarial
masculino;comercio;tienda;manrique central no. 1;1;4;2017-06-27;5000000;microempresarial
masculino;industria;fabricade;manrique central no. 1;3;4;2018-04-27;5000000;microempresarial
femenino;comercio;tiendadehelados;guayabal;3;15;2017-10-02;7000000;microempresarial
masculino;comercio;tienda;enciso;1;8;2018-10-29;7500000;microempresarial
femenino;comercio;restaurante;picachito;2;6;2019-03-29;8200000;microempresarial
femenino;industria;fabricade;guayabal;3;15;2018-04-04;6000000;microempresarial
femenino;comercio;almacenderopaen;robledo;1;7;2017-11-27;5000000;microempresarial
masculino;comercio;comidasrapidas;belen;3;16;2018-04-18;7800000;microempresarial
masculino;comercio;ventadecalzado;la loma;2;60;2019-06-11;8200000;microempresarial
femenino;comercio;tienda;enciso;2;8;2017-12-04;4400000;microempresarial
masculino;comercio;comidasrapidas;santa cruz;2;2;2018-05-17;7800000;microempresarial
masculino;comercio;variedades;manrique central no. 1;3;4;2018-05-04;3500000;microempresarial
femenino;comercio;variedades;robledo;3;7;2016-04-27;6000000;microempresarial
femenino;industria;fabricade;san javier no.1;3;13;2019-05-20;3750000;microempresarial
masculino;comercio;variedades;robledo;3;7;2018-11-19;4500000;microempresarial
masculino;industria;fabricade;florencia;3;5;2017-01-31;7300000;microempresarial
femenino;industria;fabricade;villatina;1;8;2016-04-26;6890000;microempresarial
masculino;comercio;tienda;moravia;2;4;2016-03-15;6890000;microempresarial
femenino;comercio;tienda;aranjuez;3;4;2018-10-26;2500000;microempresarial
femenino;industria;fabricade;moravia;2;4;2017-07-19;7000000;microempresarial
femenino;industria;fabricade;castilla;2;5;2017-09-29;2000000;microempresarial
femenino;servicio;peluqueria;cabecera san antonio ;2;80;2017-03-06;7370000;microempresarial
femenino;industria;fabricade;villa hermosa;2;8;2018-04-13;7800000;microempresarial
masculino;comercio;tallerdeelectronica;belen;3;16;2017-05-08;7370000;microempresarial
femenino;comercio;tienda;13 de noviembre;1;8;2017-03-27;3000000;microempresarial
femenino;comercio;tienda;doce de octubre no.1;1;6;2017-03-27;7300000;microempresarial
masculino;comercio;comidasrapidas;guayabal;3;15;2018-04-27;2000000;microempresarial
femenino;comercio;distribuidorade;cabecera san antonio ;2;80;2016-10-18;6800000;microempresarial
femenino;comercio;comidasrapidas;enciso;1;8;2018-04-11;7800000;microempresarial
masculino;industria;cerrajeria;doce de octubre no.1;2;6;2016-02-16;2500000;microempresarial
